Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lostm,Won%,Matches
1,Aaron Cresswell,engENG,DF,West Ham,35-139,1989.0,6.5,2,0,0,3,1,0,27,6,4,0,0,0,21,7,6,53.8,Matches
2,Aaron Ramsdale,engENG,GK,Southampton,26-354,1998.0,26.0,2,0,0,1,4,0,0,2,0,0,0,0,19,5,0,100.0,Matches
3,Aaron Wan-Bissaka,engENG,DF,West Ham,27-158,1997.0,31.0,1,0,0,22,24,4,64,59,43,0,0,1,155,22,29,43.1,Matches
4,Abdoulaye Doucouré,mlMLI,MF,Everton,32-122,1993.0,26.9,5,1,1,46,5,10,23,9,27,0,0,0,139,29,43,40.3,Matches
5,Abdukodir Khusanov,uzUZB,DF,Manchester City,21-063,2004.0,5.6,1,0,0,3,3,0,1,3,4,0,0,1,27,6,4,60.0,Matches
6,Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-056,2004.0,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9,Matches
7,Adam Armstrong,engENG,"FW,MF",Southampton,28-082,1997.0,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7,Matches
8,Adam Lallana,engENG,MF,Southampton,36-358,1988.0,4.0,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50.0,Matches
9,Adam Smith,engENG,DF,Bournemouth,34-004,1991.0,15.7,6,0,0,15,11,0,30,14,10,0,0,0,43,12,13,48.0,Matches
10,Adam Webster,engENG,DF,Brighton,30-119,1995.0,6.9,0,0,0,5,2,1,1,14,5,0,1,0,20,17,4,81.0,Matches
11,Adam Wharton,engENG,MF,Crystal Palace,20-335,2004.0,14.0,2,0,0,12,21,0,35,18,14,0,0,0,96,7,16,30.4,Matches
12,Adama Traoré,esESP,"FW,MF",Fulham,29-098,1996.0,17.4,2,0,0,20,29,1,90,1,12,0,0,0,78,24,25,49.0,Matches
13,Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-345,2001.0,1.6,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,100.0,Matches
14,Alejandro Garnacho,arARG,"MF,FW",Manchester Utd,20-306,2004.0,22.8,2,0,0,11,40,10,50,13,18,0,0,0,103,3,23,11.5,Matches
15,Alex Iwobi,ngNGA,"FW,MF",Fulham,29-000,1996.0,30.2,1,0,0,17,16,4,118,11,21,0,0,0,124,5,31,13.9,Matches
16,Alex McCarthy,engENG,GK,Southampton,35-151,1989.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0,Matches
17,Alex Palmer,engENG,GK,Ipswich Town,28-266,1996.0,10.0,2,0,0,1,2,0,0,0,0,0,0,0,14,3,0,100.0,Matches
18,Alex Scott,engENG,MF,Bournemouth,21-255,2003.0,7.6,2,0,0,10,26,0,5,10,12,0,0,0,49,6,7,46.2,Matches
19,Alexander Isak,seSWE,FW,Newcastle Utd,25-224,1999.0,27.6,1,0,0,25,13,20,15,3,5,1,0,0,54,25,48,34.2,Matches
20,Alexis Mac Allister,arARG,MF,Liverpool,26-130,1998.0,28.4,6,0,0,60,39,2,84,22,58,0,0,0,145,19,34,35.8,Matches
