Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Pto1/3,PPA,CrsPA,PrgPp,Matches
1,Aaron Cresswell,engENG,DF,West Ham,35-139,1989.0,6.5,355,440,80.7,6769,2697,157,173,90.8,152,177,85.9,45,82,54.9,0,1.1,1.2,-1.1,7,40,4,1,24,Matches
2,Aaron Ramsdale,engENG,GK,Southampton,26-354,1998.0,26.0,691,1073,64.4,19407,15067,196,197,99.5,260,271,95.9,229,592,38.7,0,0.0,0.1,0.0,0,32,1,0,0,Matches
3,Aaron Wan-Bissaka,engENG,DF,West Ham,27-158,1997.0,31.0,1277,1575,81.1,18273,6722,812,902,90.0,401,489,82.0,46,97,47.4,2,2.9,2.4,-0.9,29,89,30,11,125,Matches
4,Abdoulaye Doucouré,mlMLI,MF,Everton,32-122,1993.0,26.9,676,849,79.6,10229,2133,354,416,85.1,250,301,83.1,40,55,72.7,1,2.3,1.2,-1.3,26,44,14,0,78,Matches
5,Abdukodir Khusanov,uzUZB,DF,Manchester City,21-063,2004.0,5.6,360,395,91.1,6126,1976,160,169,94.7,191,197,97.0,6,23,26.1,0,0.1,0.1,-0.1,2,23,0,0,25,Matches
6,Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-056,2004.0,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,0.4,6,7,7,2,17,Matches
7,Adam Armstrong,engENG,"FW,MF",Southampton,28-082,1997.0,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,0.8,9,10,8,2,21,Matches
8,Adam Lallana,engENG,MF,Southampton,36-358,1988.0,4.0,221,260,85.0,2891,980,147,165,89.1,61,67,91.0,4,9,44.4,2,0.9,0.5,1.1,4,21,9,3,24,Matches
9,Adam Smith,engENG,DF,Bournemouth,34-004,1991.0,15.7,436,576,75.7,7088,2372,213,242,88.0,182,233,78.1,27,72,37.5,0,0.3,0.4,-0.3,7,41,8,5,40,Matches
10,Adam Webster,engENG,DF,Brighton,30-119,1995.0,6.9,429,501,85.6,7934,3140,169,177,95.5,213,232,91.8,40,79,50.6,0,0.5,0.2,-0.5,3,32,2,0,40,Matches
11,Adam Wharton,engENG,MF,Crystal Palace,20-335,2004.0,14.0,521,689,75.6,9826,3632,197,240,82.1,249,309,80.6,67,103,65.0,2,3.0,2.1,-1.0,25,73,18,5,105,Matches
12,Adama Traoré,esESP,"FW,MF",Fulham,29-098,1996.0,17.4,383,532,72.0,5972,1501,212,261,81.2,130,177,73.4,26,47,55.3,6,4.7,4.3,1.3,37,32,32,17,61,Matches
13,Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-345,2001.0,1.6,13,18,72.2,135,43,9,11,81.8,2,4,50.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,1,Matches
14,Alejandro Garnacho,arARG,"MF,FW",Manchester Utd,20-306,2004.0,22.8,600,759,79.1,8376,1083,379,426,89.0,165,199,82.9,27,47,57.4,1,3.6,2.3,-2.6,30,20,22,3,54,Matches
15,Alex Iwobi,ngNGA,"FW,MF",Fulham,29-000,1996.0,30.2,1037,1394,74.4,17737,5225,519,605,85.8,409,528,77.5,90,166,54.2,6,6.5,6.6,-0.5,53,106,77,16,196,Matches
16,Alex McCarthy,engENG,GK,Southampton,35-151,1989.0,5.0,117,156,75.0,2823,1985,41,43,95.3,45,49,91.8,30,61,49.2,0,0.0,0.0,0.0,0,5,0,0,0,Matches
17,Alex Palmer,engENG,GK,Ipswich Town,28-266,1996.0,10.0,207,316,65.5,6495,4920,41,43,95.3,85,85,100.0,81,188,43.1,0,0.0,0.0,0.0,1,6,0,0,1,Matches
18,Alex Scott,engENG,MF,Bournemouth,21-255,2003.0,7.6,252,304,82.9,4041,1262,125,141,88.7,97,106,91.5,19,32,59.4,0,0.8,0.8,-0.8,10,37,4,0,48,Matches
19,Alexander Isak,seSWE,FW,Newcastle Utd,25-224,1999.0,27.6,459,620,74.0,6537,1466,272,327,83.2,141,182,77.5,23,37,62.2,6,4.0,3.5,2.0,38,32,26,1,77,Matches
20,Alexis Mac Allister,arARG,MF,Liverpool,26-130,1998.0,28.4,1245,1493,83.4,19843,5602,645,716,90.1,482,546,88.3,85,154,55.2,4,4.4,5.5,-0.4,43,118,34,2,170,Matches
21,Alfie Dorrington,engENG,DF,Tottenham,20-013,2005.0,0.2,15,16,93.8,304,39,6,7,85.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
22,Alfie Pond,engENG,DF,Wolves,21-063,2004.0,0.0,1,1,100.0,23,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
23,Ali Al Hamadi,iqIRQ,FW,Ipswich Town,23-063,2002.0,1.5,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,,0,0.1,0.0,-0.1,2,0,0,0,3,Matches
24,Alisson,brBRA,GK,Liverpool,32-213,1992.0,23.9,630,758,83.1,13996,9088,183,185,98.9,338,343,98.5,108,226,47.8,0,0.6,0.2,-0.6,1,10,0,0,0,Matches
25,Alphonse Areola,frFRA,GK,West Ham,32-065,1993.0,22.1,615,873,70.4,16400,11166,133,134,99.3,299,314,95.2,180,415,43.4,0,0.0,0.0,0.0,0,9,0,0,0,Matches
26,Altay Bayındır,trTUR,GK,Manchester Utd,27-019,1998.0,1.0,32,61,52.5,942,540,2,2,100.0,17,20,85.0,13,39,33.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
27,Amad Diallo,ciCIV,"FW,MF",Manchester Utd,22-296,2002.0,17.7,658,794,82.9,9051,1880,407,450,90.4,185,217,85.3,33,63,52.4,6,3.9,3.6,2.1,39,25,29,5,53,Matches
28,Amadou Onana,beBEL,MF,Aston Villa,23-260,2001.0,15.0,589,666,88.4,9251,2316,301,319,94.4,250,278,89.9,25,35,71.4,0,0.3,0.5,-0.3,7,52,8,1,58,Matches
29,Andreas Pereira,brBRA,MF,Fulham,29-122,1996.0,20.9,641,931,68.9,11658,3703,296,354,83.6,245,313,78.3,87,212,41.0,4,4.5,4.3,-0.5,56,64,19,4,99,Matches
30,Andrew Robertson,sctSCO,DF,Liverpool,31-053,1994.0,25.6,1456,1754,83.0,24521,7781,713,758,94.1,623,718,86.8,103,220,46.8,0,4.1,3.9,-4.1,38,144,28,16,165,Matches
31,André,brBRA,MF,Wolves,23-291,2001.0,25.0,1111,1197,92.8,17503,4913,568,596,95.3,431,452,95.4,68,85,80.0,0,0.7,0.6,-0.7,15,101,4,0,95,Matches
32,André Onana,cmCMR,GK,Manchester Utd,29-031,1996.0,33.0,920,1259,73.1,21868,13211,218,220,99.1,511,516,99.0,186,513,36.3,0,0.2,0.2,-0.2,1,24,0,0,1,Matches
33,Andrés García,esESP,"DF,MF",Aston Villa,22-085,2003.0,3.5,174,201,86.6,2725,577,89,96,92.7,74,82,90.2,7,13,53.8,0,0.2,0.4,-0.2,3,9,8,5,15,Matches
34,Andy Irving,sctSCO,MF,West Ham,24-355,2000.0,1.8,109,124,87.9,1705,439,61,64,95.3,36,43,83.7,9,9,100.0,0,0.2,0.1,-0.2,1,14,1,1,9,Matches
35,Anthony Elanga,seSWE,"FW,MF",Nott'ham Forest,23-006,2002.0,23.8,452,696,64.9,6511,2203,274,329,83.3,118,187,63.1,37,110,33.6,9,4.7,4.1,4.3,43,27,24,7,52,Matches
36,Anthony Gordon,engENG,FW,Newcastle Utd,24-068,2001.0,24.4,661,904,73.1,10125,3348,371,431,86.1,220,283,77.7,49,116,42.2,5,4.9,4.9,0.1,50,59,50,16,92,Matches
37,Antoine Semenyo,ghGHA,FW,Bournemouth,25-116,2000.0,32.3,728,993,73.3,10406,2705,437,515,84.9,232,303,76.6,31,82,37.8,4,5.7,4.1,-1.7,44,48,44,8,106,Matches
38,Antonee Robinson,usUSA,DF,Fulham,27-268,1997.0,32.2,1482,1936,76.5,25356,9277,710,821,86.5,629,797,78.9,124,219,56.6,10,4.1,3.8,5.9,41,109,50,26,120,Matches
39,Antony,brBRA,"DF,MF",Manchester Utd,25-068,2000.0,1.6,56,69,81.2,688,111,45,51,88.2,9,14,64.3,1,1,100.0,0,0.1,0.2,-0.1,3,1,5,2,6,Matches
