Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Aaron Cresswell,engENG,DF,West Ham,35-139,1989.0,6.5,0,3,0,0.0,0.46,0.0,0.0,,29.8,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
2,Aaron Ramsdale,engENG,GK,Southampton,26-354,1998.0,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Aaron Wan-Bissaka,engENG,DF,West Ham,27-158,1997.0,31.0,2,15,5,33.3,0.48,0.16,0.13,0.4,15.3,0,0,0,1.2,1.2,0.08,0.8,0.8,Matches
4,Abdoulaye Doucouré,mlMLI,MF,Everton,32-122,1993.0,26.9,3,29,9,31.0,1.08,0.33,0.1,0.33,13.8,0,0,0,3.9,3.9,0.13,-0.9,-0.9,Matches
5,Abdukodir Khusanov,uzUZB,DF,Manchester City,21-063,2004.0,5.6,0,1,0,0.0,0.18,0.0,0.0,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
6,Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-056,2004.0,6.4,0,13,5,38.5,2.02,0.78,0.0,0.0,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
7,Adam Armstrong,engENG,"FW,MF",Southampton,28-082,1997.0,13.9,2,25,7,28.0,1.8,0.5,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,Matches
8,Adam Lallana,engENG,MF,Southampton,36-358,1988.0,4.0,0,3,0,0.0,0.75,0.0,0.0,,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
9,Adam Smith,engENG,DF,Bournemouth,34-004,1991.0,15.7,0,3,0,0.0,0.19,0.0,0.0,,16.9,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
10,Adam Webster,engENG,DF,Brighton,30-119,1995.0,6.9,0,1,1,100.0,0.15,0.15,0.0,0.0,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
11,Adam Wharton,engENG,MF,Crystal Palace,20-335,2004.0,14.0,0,12,5,41.7,0.86,0.36,0.0,0.0,25.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
12,Adama Traoré,esESP,"FW,MF",Fulham,29-098,1996.0,17.4,2,36,11,30.6,2.07,0.63,0.06,0.18,14.4,0,0,0,3.8,3.8,0.11,-1.8,-1.8,Matches
13,Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-345,2001.0,1.6,0,2,0,0.0,1.26,0.0,0.0,,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
14,Alejandro Garnacho,arARG,"MF,FW",Manchester Utd,20-306,2004.0,22.8,5,81,28,34.6,3.55,1.23,0.06,0.18,17.1,0,0,0,7.0,7.0,0.09,-2.0,-2.0,Matches
