Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgCs,PrgPs,PrgRs,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
1,Aaron Cresswell,engENG,DF,West Ham,35-139,1989.0,14,7,589,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.0,0.0,0.0,0.0,0.0,0.02,0.17,0.19,0.02,0.19,Matches
2,Aaron Ramsdale,engENG,GK,Southampton,26-354,1998.0,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3,Aaron Wan-Bissaka,engENG,DF,West Ham,27-158,1997.0,32,31,"2,794",31.0,2,2,4,2,0,0,1,0,1.2,1.2,2.9,4.0,98,125,139,0.06,0.06,0.13,0.06,0.13,0.04,0.09,0.13,0.04,0.13,Matches
4,Abdoulaye Doucouré,mlMLI,MF,Everton,32-122,1993.0,30,29,"2,425",26.9,3,1,4,3,0,0,5,1,3.9,3.9,2.3,6.2,40,78,91,0.11,0.04,0.15,0.11,0.15,0.14,0.09,0.23,0.14,0.23,Matches
5,Abdukodir Khusanov,uzUZB,DF,Manchester City,21-063,2004.0,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
6,Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-056,2004.0,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,Matches
7,Adam Armstrong,engENG,"FW,MF",Southampton,28-082,1997.0,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
8,Adam Lallana,engENG,MF,Southampton,36-358,1988.0,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.0,0.5,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27,Matches
9,Adam Smith,engENG,DF,Bournemouth,34-004,1991.0,22,17,"1,409",15.7,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,12,40,31,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
10,Adam Webster,engENG,DF,Brighton,30-119,1995.0,11,8,617,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.0,0.08,Matches
11,Adam Wharton,engENG,MF,Crystal Palace,20-335,2004.0,19,15,"1,258",14.0,0,2,2,0,0,0,2,0,0.3,0.3,3.0,3.3,14,105,10,0.0,0.14,0.14,0.0,0.14,0.02,0.21,0.24,0.02,0.24,Matches
12,Adama Traoré,esESP,"FW,MF",Fulham,29-098,1996.0,32,16,"1,568",17.4,2,6,8,2,0,0,2,0,3.8,3.8,4.7,8.5,87,61,143,0.11,0.34,0.46,0.11,0.46,0.22,0.27,0.49,0.22,0.49,Matches
13,Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-345,2001.0,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches
14,Alejandro Garnacho,arARG,"MF,FW",Manchester Utd,20-306,2004.0,33,22,"2,056",22.8,5,1,6,5,0,0,2,0,7.0,7.0,3.6,10.6,134,54,274,0.22,0.04,0.26,0.22,0.26,0.31,0.16,0.46,0.31,0.46,Matches
15,Alex Iwobi,ngNGA,"FW,MF",Fulham,29-000,1996.0,34,32,"2,721",30.2,9,6,15,9,0,0,1,0,4.5,4.5,6.5,11.0,132,196,221,0.3,0.2,0.5,0.3,0.5,0.15,0.22,0.36,0.15,0.36,Matches
16,Alex McCarthy,engENG,GK,Southampton,35-151,1989.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
17,Alex Palmer,engENG,GK,Ipswich Town,28-266,1996.0,10,10,900,10.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
18,Alex Scott,engENG,MF,Bournemouth,21-255,2003.0,17,7,683,7.6,0,0,0,0,0,0,2,0,0.7,0.7,0.8,1.5,14,48,32,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.19,0.09,0.19,Matches
19,Alexander Isak,seSWE,FW,Newcastle Utd,25-224,1999.0,31,31,"2,487",27.6,22,6,28,19,3,3,1,0,19.0,16.6,4.0,20.7,77,77,196,0.8,0.22,1.01,0.69,0.9,0.69,0.15,0.83,0.6,0.75,Matches
20,Alexis Mac Allister,arARG,MF,Liverpool,26-130,1998.0,33,30,"2,553",28.4,5,4,9,5,0,0,6,0,2.8,2.8,4.4,7.3,34,170,78,0.18,0.14,0.32,0.18,0.32,0.1,0.16,0.26,0.1,0.26,Matches
21,Alfie Dorrington,engENG,DF,Tottenham,20-013,2005.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
22,Alfie Pond,engENG,DF,Wolves,21-063,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
23,Ali Al Hamadi,iqIRQ,FW,Ipswich Town,23-063,2002.0,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.0,0.0,0.0,0.0,0.0,0.24,0.05,0.28,0.24,0.28,Matches
24,Alisson,brBRA,GK,Liverpool,32-213,1992.0,24,24,"2,148",23.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
25,Alphonse Areola,frFRA,GK,West Ham,32-065,1993.0,23,22,"1,990",22.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26,Altay Bayındır,trTUR,GK,Manchester Utd,27-019,1998.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
27,Amad Diallo,ciCIV,"FW,MF",Manchester Utd,22-296,2002.0,22,17,"1,594",17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Matches
28,Amadou Onana,beBEL,MF,Aston Villa,23-260,2001.0,22,17,"1,348",15.0,3,0,3,3,0,0,4,0,2.1,2.1,0.3,2.4,20,58,13,0.2,0.0,0.2,0.2,0.2,0.14,0.02,0.16,0.14,0.16,Matches
29,Andreas Pereira,brBRA,MF,Fulham,29-122,1996.0,31,23,"1,879",20.9,2,4,6,2,0,1,7,0,3.5,2.7,4.5,7.2,27,99,78,0.1,0.19,0.29,0.1,0.29,0.17,0.21,0.38,0.13,0.34,Matches
30,Andrew Robertson,sctSCO,DF,Liverpool,31-053,1994.0,31,27,"2,308",25.6,0,0,0,0,0,0,3,1,1.0,1.0,4.1,5.1,58,165,95,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.2,0.04,0.2,Matches
31,André,brBRA,MF,Wolves,23-291,2001.0,30,28,"2,249",25.0,0,0,0,0,0,0,7,0,0.4,0.4,0.7,1.1,8,95,11,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
32,André Onana,cmCMR,GK,Manchester Utd,29-031,1996.0,33,33,"2,970",33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
33,Andrés García,esESP,"DF,MF",Aston Villa,22-085,2003.0,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches
34,Andy Irving,sctSCO,MF,West Ham,24-355,2000.0,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,Matches
35,Anthony Elanga,seSWE,"FW,MF",Nott'ham Forest,23-006,2002.0,34,27,"2,142",23.8,6,9,15,6,0,0,1,0,4.0,4.0,4.7,8.8,84,52,177,0.25,0.38,0.63,0.25,0.63,0.17,0.2,0.37,0.17,0.37,Matches
36,Anthony Gordon,engENG,FW,Newcastle Utd,24-068,2001.0,30,25,"2,200",24.4,6,5,11,5,1,2,2,0,8.0,6.4,4.9,11.3,109,92,194,0.25,0.2,0.45,0.2,0.41,0.33,0.2,0.53,0.26,0.46,Matches
37,Antoine Semenyo,ghGHA,FW,Bournemouth,25-116,2000.0,33,33,"2,907",32.3,9,4,13,9,0,0,9,0,9.3,9.3,5.7,15.0,132,106,259,0.28,0.12,0.4,0.28,0.4,0.29,0.18,0.46,0.29,0.46,Matches
38,Antonee Robinson,usUSA,DF,Fulham,27-268,1997.0,33,32,"2,899",32.2,0,10,10,0,0,0,8,0,0.7,0.7,4.1,4.8,110,120,257,0.0,0.31,0.31,0.0,0.31,0.02,0.13,0.15,0.02,0.15,Matches
39,Antony,brBRA,"DF,MF",Manchester Utd,25-068,2000.0,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.0,0.0,0.0,0.0,0.0,0.65,0.08,0.73,0.65,0.73,Matches
40,Antonín Kinský,czCZE,GK,Tottenham,22-051,2003.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
41,Archie Gray,engENG,"DF,MF",Tottenham,19-052,2006.0,24,15,"1,391",15.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,32,15,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
42,Arijanet Muric,xkKVX,GK,Ipswich Town,26-177,1998.0,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
43,Armando Broja,alALB,FW,Everton,23-235,2001.0,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches
44,Armel Bella Kotchap,deGER,DF,Southampton,23-143,2001.0,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
45,Asher Agbinone,engENG,MF,Crystal Palace,19-217,2005.0,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,Matches
46,Ashley Young,engENG,"DF,FW",Everton,39-298,1985.0,28,17,"1,613",17.9,1,3,4,1,0,0,6,1,0.3,0.3,1.6,1.8,20,82,26,0.06,0.17,0.22,0.06,0.22,0.01,0.09,0.1,0.01,0.1,Matches
47,Axel Disasi,frFRA,DF,Chelsea,27-053,1998.0,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
48,Axel Disasi,frFRA,DF,Aston Villa,27-053,1998.0,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches
49,Axel Tuanzebe,cdCOD,DF,Ipswich Town,27-170,1997.0,18,17,"1,445",16.1,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,9,45,8,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,Matches
50,Ayden Heaven,engENG,DF,Manchester Utd,18-223,2006.0,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
51,Bart Verbruggen,nlNED,GK,Brighton,22-258,2002.0,32,32,"2,880",32.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches
52,Ben Brereton,clCHI,FW,Southampton,26-015,1999.0,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,Matches
53,Ben Chilwell,engENG,DF,Crystal Palace,28-133,1996.0,6,0,139,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,10,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18,Matches
54,Ben Davies,wlsWAL,DF,Tottenham,32-009,1993.0,13,11,"1,036",11.5,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,13,49,6,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
55,Ben Godfrey,engENG,DF,Ipswich Town,27-108,1998.0,3,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
56,Ben Johnson,engENG,"DF,FW",Ipswich Town,25-099,2000.0,22,14,"1,348",15.0,1,2,3,1,0,0,5,1,1.1,1.1,1.3,2.3,16,26,33,0.07,0.13,0.2,0.07,0.2,0.07,0.09,0.16,0.07,0.16,Matches
57,Ben Mee,engENG,DF,Brentford,35-224,1989.0,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
58,Ben White,engENG,DF,Arsenal,27-207,1997.0,13,9,856,9.5,0,1,1,0,0,0,2,0,0.4,0.4,0.8,1.2,10,42,27,0.0,0.11,0.11,0.0,0.11,0.04,0.09,0.13,0.04,0.13,Matches
59,Ben Winterburn,engENG,"FW,MF",Bournemouth,20-241,2004.0,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
60,Benoît Badiashile,frFRA,DF,Chelsea,24-038,2001.0,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
61,Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-266,1994.0,30,26,"2,401",26.7,3,4,7,3,0,0,7,0,3.2,3.2,4.4,7.6,94,115,184,0.11,0.15,0.26,0.11,0.26,0.12,0.16,0.29,0.12,0.29,Matches
62,Bernd Leno,deGER,GK,Fulham,33-060,1992.0,34,34,"3,060",34.0,0,1,1,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches
63,Beto,gwGNB,FW,Everton,27-092,1998.0,26,11,"1,192",13.2,6,0,6,6,0,0,2,0,6.1,6.1,0.8,6.9,12,9,62,0.45,0.0,0.45,0.45,0.45,0.46,0.06,0.52,0.46,0.52,Matches
64,Bilal El Khannouss,maMAR,MF,Leicester City,20-358,2004.0,29,24,"1,920",21.3,2,2,4,2,0,0,4,0,0.9,0.9,3.2,4.1,61,118,77,0.09,0.09,0.19,0.09,0.19,0.04,0.15,0.19,0.04,0.19,Matches
65,Billy Gilmour,sctSCO,MF,Brighton,23-326,2001.0,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
66,Bobby De Cordova-Reid,jmJAM,FW,Leicester City,32-090,1993.0,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,14,15,48,0.12,0.24,0.36,0.12,0.36,0.1,0.15,0.24,0.1,0.24,Matches
67,Boubacar Kamara,frFRA,MF,Aston Villa,25-161,1999.0,22,16,"1,373",15.3,0,0,0,0,0,0,2,0,0.4,0.4,0.9,1.3,16,72,5,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches
68,Boubacar Traoré,mlMLI,MF,Wolves,23-256,2001.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
69,Boubakary Soumaré,frFRA,MF,Leicester City,26-065,1999.0,27,23,"1,953",21.7,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,31,94,21,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
70,Brajan Gruda,deGER,"FW,MF",Brighton,20-337,2004.0,17,6,507,5.6,0,3,3,0,0,0,0,0,0.4,0.4,1.2,1.6,16,17,47,0.0,0.53,0.53,0.0,0.53,0.07,0.22,0.29,0.07,0.29,Matches
71,Brandon Austin,engENG,GK,Tottenham,26-115,1999.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
72,Brennan Johnson,wlsWAL,FW,Tottenham,23-345,2001.0,31,23,"2,083",23.1,11,3,14,11,0,0,5,0,9.8,9.8,2.3,12.1,57,70,194,0.48,0.13,0.6,0.48,0.6,0.43,0.1,0.52,0.43,0.52,Matches
73,Bruno Fernandes,ptPOR,MF,Manchester Utd,30-237,1994.0,33,32,"2,758",30.6,8,9,17,5,3,3,4,2,9.5,7.1,7.6,14.7,65,281,118,0.26,0.29,0.55,0.16,0.46,0.31,0.25,0.56,0.23,0.48,Matches
74,Bruno Guimarães,brBRA,MF,Newcastle Utd,27-168,1997.0,34,34,"2,912",32.4,4,6,10,4,0,0,6,0,3.8,3.8,5.6,9.4,53,241,79,0.12,0.19,0.31,0.12,0.31,0.12,0.17,0.29,0.12,0.29,Matches
75,Bryan Mbeumo,cmCMR,FW,Brentford,25-269,1999.0,34,34,"3,054",33.9,18,6,24,13,5,5,3,0,10.8,6.8,7.9,14.8,114,126,306,0.53,0.18,0.71,0.38,0.56,0.32,0.23,0.55,0.2,0.44,Matches
76,Bukayo Saka,engENG,"FW,MF",Arsenal,23-240,2001.0,21,17,"1,454",16.2,6,10,16,5,1,1,3,0,5.9,5.1,6.7,11.8,79,61,222,0.37,0.62,0.99,0.31,0.93,0.36,0.42,0.78,0.31,0.73,Matches
77,Caleb Kporha,engENG,DF,Crystal Palace,18-292,2006.0,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
78,Caleb Okoli,itITA,DF,Leicester City,23-294,2001.0,18,12,"1,124",12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.0,0.6,3,32,2,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05,Matches
79,Callum Hudson-Odoi,engENG,"FW,MF",Nott'ham Forest,24-177,2000.0,29,25,"2,152",23.9,5,2,7,5,0,0,2,0,2.5,2.5,2.7,5.2,127,66,186,0.21,0.08,0.29,0.21,0.29,0.1,0.11,0.22,0.1,0.22,Matches
80,Callum Wilson,engENG,FW,Newcastle Utd,33-065,1992.0,14,1,268,3.0,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,3,11,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.14,0.11,0.14,Matches
81,Calvin Bassey,ngNGA,DF,Fulham,25-123,1999.0,32,31,"2,804",31.2,1,0,1,1,0,0,6,0,1.0,1.0,0.1,1.1,35,104,13,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,Matches
82,Cameron Archer,engENG,FW,Southampton,23-286,2001.0,31,13,"1,361",15.1,2,0,2,2,0,1,0,0,5.1,4.3,0.4,4.6,19,14,62,0.13,0.0,0.13,0.13,0.13,0.34,0.02,0.36,0.28,0.31,Matches
