Player,Squad,Player_Thieu,Squad_Thieu,Similarity
Alphonse Aréola,West Ham,Alphonse Areola,West Ham,93
Arijanet Murić,Ipswich Town,Arijanet Muric,Ipswich Town,93
Idrissa Gueye,Everton,Idrissa Gana Gueye,Everton,69
Simon Adingra,Brighton,Igor,Brighton,75
Ismaïla Sarr,Crystal Palace,Ismaila Sarr,Crystal Palace,92
Jérémy Doku,Manchester City,Jeremy Doku,Manchester City,82
Jurrien Timber,Arsenal,Jurriën Timber,Arsenal,93
Manuel Ugarte,Manchester Utd,Manuel Ugarte Ribeiro,Manchester Utd,100
Pedro Lima,Wolves,Mario Lemina,Wolves,60
Miloš Kerkez,Bournemouth,Milos Kerkez,Bournemouth,92
O. Hutchinson,Ipswich Town,Omari Hutchinson,Ipswich Town,85
Radu Drăguşin,Tottenham,Radu Drăgușin,Tottenham,92
Rasmus Winther Højlund,Manchester Utd,Rasmus Højlund,Manchester Utd,64
Rayan Aït Nouri,Wolves,Rayan Aït-Nouri,Wolves,93
Heung-min Son,Tottenham,Son Heung-min,Tottenham,69
Victor Kristiansen,Leicester City,Victor Bernth Kristiansen,Leicester City,72
