STT,Player,Age,Squad,ETV
1,Erling Haaland,24,Manchester City,€198.8M
2,Martin Ødegaard,26,Arsenal,€126.5M
3,Alexander Isak,25,Newcastle Utd,€120.3M
4,Cole Palmer,22,Chelsea,€115.4M
5,Declan Rice,26,Arsenal,€107.8M
6,Alexis Mac Allister,26,Liverpool,€106.1M
7,Phil Foden,24,Manchester City,€105.7M
8,Bukayo Saka,23,Arsenal,€101.3M
9,Rodri,28,Manchester City,€87M
10,Ryan Gravenberch,22,Liverpool,€85.3M
11,Bruno Guimarães,27,Newcastle Utd,€83.2M
12,Moisés Caicedo,23,Chelsea,€80.7M
13,William Saliba,24,Arsenal,€79.5M
14,Omar Marmoush,26,Manchester City,€79.1M
15,Joško Gvardiol,23,Manchester City,€78.7M
16,Gabriel Magalhães,27,Arsenal,€75.5M
17,Sávio,21,Manchester City,€74.8M
18,Ethan Nwaneri,18,Arsenal,€74.3M
19,Enzo Fernández,24,Chelsea,€73.7M
20,Dominik Szoboszlai,24,Liverpool,€71.4M
21,Brennan Johnson,23,Tottenham,€71.3M
22,Lucas Paquetá,27,West Ham,€71.2M
23,Leny Yoro,19,Manchester Utd,€71M
24,Luis Díaz,28,Liverpool,€71M
25,Kai Havertz,25,Arsenal,€70.5M
26,Morgan Rogers,23,Aston Villa,€69M
27,Murillo,22,Nott'ham Forest,€68.4M
28,Cody Gakpo,25,Liverpool,€67.5M
29,Nicolas Jackson,23,Chelsea,€66.2M
30,Jérémy Doku,22,Manchester City,€66.2M
31,Kobbie Mainoo,20,Manchester Utd,€66M
32,Jurrien Timber,23,Arsenal,€65.5M
33,Rico Lewis,20,Manchester City,€62.7M
34,Matheus Cunha,25,Wolves,€62.6M
35,Gabriel Martinelli,23,Arsenal,€62.6M
36,Eberechi Eze,26,Crystal Palace,€62.2M
37,Amadou Onana,23,Aston Villa,€62.1M
38,Micky van de Ven,24,Tottenham,€61.8M
39,Mohammed Kudus,24,West Ham,€61.7M
40,Morgan Gibbs-White,25,Nott'ham Forest,€61.7M
41,Curtis Jones,24,Liverpool,€61.7M
42,Miloš Kerkez,21,Bournemouth,€61.5M
