Player,Nation,Squad,Pos,Age_Score,Time_Score,Performance_Score,DanhGia
Aaron Ramsdale,engENG,Southampton,GK,0.6,0.8,1.02,1
Aaron Wan-Bissaka,engENG,West Ham,DF,0.6,1.0,1.29,1
Abdoulaye Doucouré,mlMLI,Everton,MF,0.2,0.8,1.17,0
Adam Armstrong,engENG,Southampton,FW-MF,0.4,0.4,0.56,0
Adam Smith,engENG,Bournemouth,DF,0.1,0.4,0.41,0
Adam Wharton,engENG,Crystal Palace,MF,0.9,0.4,1.21,1
Adama Traoré,esESP,Fulham,FW-MF,0.4,0.6,1.0,0
Alejandro Garnacho,arARG,Manchester Utd,MF-FW,0.9,0.8,1.05,1
Alex Iwobi,ngNGA,Fulham,FW-MF,0.4,1.0,1.66,1
Alexander Isak,seSWE,Newcastle Utd,FW,0.6,0.8,1.72,1
Alexis Mac Allister,arARG,Liverpool,MF,0.6,1.0,1.76,1
Alisson,brBRA,Liverpool,GK,0.2,0.8,0.58,0
Alphonse Areola,frFRA,West Ham,GK,0.2,0.6,0.75,0
Amad Diallo,ciCIV,Manchester Utd,FW-MF,0.8,0.6,1.07,1
Amadou Onana,beBEL,Aston Villa,MF,0.8,0.4,1.15,0
Andreas Pereira,brBRA,Fulham,MF,0.4,0.6,1.27,0
Andrew Robertson,sctSCO,Liverpool,DF,0.2,0.8,0.6,0
André,brBRA,Wolves,MF,0.8,0.8,1.48,1
André Onana,cmCMR,Manchester Utd,GK,0.4,1.0,0.75,0
Anthony Elanga,seSWE,Nott'ham Forest,FW-MF,0.8,0.8,1.0,1
Anthony Gordon,engENG,Newcastle Utd,FW,0.8,0.8,1.12,1
Antoine Semenyo,ghGHA,Bournemouth,FW,0.6,1.0,1.27,1
Antonee Robinson,usUSA,Fulham,DF,0.6,1.0,1.54,1
Archie Gray,engENG,Tottenham,DF-MF,0.9,0.4,0.74,0
Arijanet Muric,xkKVX,Ipswich Town,GK,0.6,0.6,0.78,0
Ashley Young,engENG,Everton,DF-FW,0.1,0.6,0.44,0
Axel Tuanzebe,cdCOD,Ipswich Town,DF,0.6,0.4,0.61,0
Bart Verbruggen,nlNED,Brighton,GK,0.8,1.0,0.74,1
Ben Davies,wlsWAL,Tottenham,DF,0.2,0.4,0.48,0
Ben Johnson,engENG,Ipswich Town,DF-FW,0.6,0.4,0.39,0
Bernardo Silva,ptPOR,Manchester City,MF-FW,0.4,0.8,1.28,1
Bernd Leno,deGER,Fulham,GK,0.2,1.0,0.64,0
Beto,gwGNB,Everton,FW,0.6,0.4,0.4,0
Bilal El Khannouss,maMAR,Leicester City,MF,0.9,0.6,1.35,1
Boubacar Kamara,frFRA,Aston Villa,MF,0.6,0.4,1.18,0
Boubakary Soumaré,frFRA,Leicester City,MF,0.6,0.6,1.36,1
Brennan Johnson,wlsWAL,Tottenham,FW,0.8,0.8,0.97,1
Bruno Fernandes,ptPOR,Manchester Utd,MF,0.4,1.0,2.41,1
Bruno Guimarães,brBRA,Newcastle Utd,MF,0.6,1.0,2.11,1
Bryan Mbeumo,cmCMR,Brentford,FW,0.6,1.0,1.75,1
Bukayo Saka,engENG,Arsenal,FW-MF,0.8,0.4,1.22,1
Caleb Okoli,itITA,Leicester City,DF,0.8,0.4,0.61,0
Callum Hudson-Odoi,engENG,Nott'ham Forest,FW-MF,0.8,0.8,1.06,1
Calvin Bassey,ngNGA,Fulham,DF,0.6,1.0,1.0,1
Cameron Archer,engENG,Southampton,FW,0.8,0.4,0.3,0
Cameron Burgess,auAUS,Ipswich Town,DF,0.4,0.4,0.44,0
Carlos Baleba,cmCMR,Brighton,MF,0.9,0.8,1.5,1
Carlos Soler,esESP,West Ham,MF-FW,0.4,0.4,0.64,0
Casemiro,brBRA,Manchester Utd,MF,0.2,0.4,1.2,0
Chris Richards,usUSA,Crystal Palace,DF,0.6,0.6,0.86,0
Chris Wood,nzNZL,Nott'ham Forest,FW,0.2,1.0,1.04,0
Christian Eriksen,dkDEN,Manchester Utd,MF,0.2,0.4,1.06,0
Christian Nørgaard,dkDEN,Brentford,MF,0.2,0.8,1.44,1
Christopher Nkunku,frFRA,Chelsea,FW,0.6,0.4,0.44,0
Cody Gakpo,nlNED,Liverpool,FW,0.6,0.6,0.89,0
Cole Palmer,engENG,Chelsea,MF,0.8,1.0,2.11,1
Conor Coady,engENG,Leicester City,DF,0.2,0.4,0.51,0
Craig Dawson,engENG,Wolves,DF,0.1,0.4,0.37,0
Cristian Romero,arARG,Tottenham,DF,0.6,0.4,0.7,0
Curtis Jones,engENG,Liverpool,MF-DF,0.8,0.4,0.94,0
Daichi Kamada,jpJPN,Crystal Palace,MF,0.4,0.4,1.07,0
Dan Burn,engENG,Newcastle Utd,DF,0.2,1.0,0.86,0
Dango Ouattara,bfBFA,Bournemouth,FW,0.8,0.6,1.03,1
Daniel Muñoz,coCOL,Crystal Palace,DF,0.4,1.0,1.61,1
Danny Welbeck,engENG,Brighton,FW,0.1,0.6,0.69,0
Dara O'Shea,ieIRL,Ipswich Town,DF,0.6,1.0,1.36,1
Darwin Núñez,uyURU,Liverpool,FW,0.6,0.4,0.41,0
David Raya,esESP,Arsenal,GK,0.4,1.0,0.6,0
Dean Henderson,engENG,Crystal Palace,GK,0.4,1.0,0.85,0
Dean Huijsen,esESP,Bournemouth,DF,0.9,0.8,1.08,1
Declan Rice,engENG,Arsenal,MF,0.6,1.0,1.88,1
Dejan Kulusevski,seSWE,Tottenham,MF-FW,0.6,0.8,1.31,1
Destiny Udogie,itITA,Tottenham,DF,0.8,0.6,1.24,1
Diogo Dalot,ptPOR,Manchester Utd,DF,0.6,1.0,1.09,1
Diogo Jota,ptPOR,Liverpool,FW,0.4,0.4,0.65,0
Djed Spence,engENG,Tottenham,DF,0.8,0.6,0.75,0
Dominic Calvert-Lewin,engENG,Everton,FW,0.4,0.6,0.41,0
Dominic Solanke,engENG,Tottenham,FW,0.6,0.8,0.84,0
Dominik Szoboszlai,huHUN,Liverpool,MF,0.8,0.8,1.65,1
Dwight McNeil,engENG,Everton,MF-FW,0.6,0.4,0.86,0
Eberechi Eze,engENG,Crystal Palace,MF-FW,0.6,0.8,1.2,1
Ederson,brBRA,Manchester City,GK,0.2,0.8,0.64,0
Edson Álvarez,mxMEX,West Ham,MF,0.6,0.6,1.26,1
Elliot Anderson,engENG,Nott'ham Forest,MF,0.8,0.8,1.36,1
Emerson Palmieri,itITA,West Ham,DF,0.4,0.8,0.96,0
Emile Smith Rowe,engENG,Fulham,MF,0.8,0.6,1.42,1
Emiliano Martínez,arARG,Aston Villa,GK,0.2,1.0,0.8,0
Emmanuel Agbadou,ciCIV,Wolves,DF,0.6,0.4,0.5,0
Enzo Fernández,arARG,Chelsea,MF,0.8,1.0,2.06,1
Erling Haaland,noNOR,Manchester City,FW,0.8,0.8,1.38,1
Ethan Pinnock,jmJAM,Brentford,DF,0.2,0.6,0.8,0
Evanilson,brBRA,Bournemouth,FW,0.6,0.6,0.64,0
Ezri Konsa,engENG,Aston Villa,DF,0.6,1.0,0.62,0
Fabian Schär,chSUI,Newcastle Utd,DF,0.2,1.0,0.99,0
Facundo Buonanotte,arARG,Leicester City,FW-MF,0.9,0.4,0.75,0
Flynn Downes,engENG,Southampton,MF,0.6,0.6,1.24,1
Gabriel Magalhães,brBRA,Arsenal,DF,0.6,0.8,0.85,0
Gabriel Martinelli,brBRA,Arsenal,FW-MF,0.8,0.6,1.04,1
Georginio Rutter,frFRA,Brighton,MF-FW,0.8,0.6,0.72,0
Guglielmo Vicario,itITA,Tottenham,GK,0.4,0.6,0.67,0
Guido Rodríguez,arARG,West Ham,MF,0.2,0.4,0.9,0
Harry Maguire,engENG,Manchester Utd,DF,0.2,0.4,0.65,0
Harry Wilson,wlsWAL,Fulham,FW-MF,0.4,0.4,0.62,0
Harry Winks,engENG,Leicester City,MF,0.4,0.6,1.39,0
Harvey Barnes,engENG,Newcastle Utd,FW,0.6,0.4,0.97,0
Ibrahima Konaté,frFRA,Liverpool,DF,0.6,0.8,0.76,0
Idrissa Gana Gueye,snSEN,Everton,MF,0.1,1.0,1.53,1
Igor,brBRA,Brighton,DF,0.6,0.4,0.36,0
Iliman Ndiaye,snSEN,Everton,FW,0.6,0.8,0.6,0
Illia Zabarnyi,uaUKR,Bournemouth,DF,0.8,1.0,1.09,1
Ismaila Sarr,snSEN,Crystal Palace,MF-FW,0.6,0.8,1.08,1
Issa Diop,frFRA,Fulham,DF,0.4,0.4,0.39,0
Jack Clarke,engENG,Ipswich Town,FW-MF,0.8,0.4,0.6,0
Jack Harrison,engENG,Everton,FW,0.4,0.6,0.52,0
Jack Hinshelwood,engENG,Brighton,DF-MF,0.9,0.6,0.77,0
Jack Stephens,engENG,Southampton,DF,0.2,0.4,0.51,0
Jacob Greaves,engENG,Ipswich Town,DF,0.8,0.6,0.82,0
Jacob Murphy,engENG,Newcastle Utd,FW,0.4,0.8,1.32,1
