STT,Player,Age,Squad,ETV
9,Rodri,28,Manchester City,€87M
18,Ethan Nwaneri,18,Arsenal,€74.3M
30,Jérémy Doku,22,Manchester City,€66.2M
32,Jurrien Timber,23,Arsenal,€65.5M
42,Miloš Kerkez,21,Bournemouth,€61.5M
49,Manuel Ugarte,24,Manchester Utd,€60.4M
52,Ben White,27,Arsenal,€58.8M
61,Mathys Tel,20,Tottenham,€56.4M
65,Rasmus Winther Højlund,22,Manchester Utd,€54.9M
67,Roméo Lavia,21,Chelsea,€54.6M
69,Marcus Rashford,27,Aston Villa,€53.6M
71,Sven Botman,25,Newcastle Utd,€52.7M
86,Evan Ferguson,20,West Ham,€48.5M
87,Harvey Elliott,22,Liverpool,€48.5M
89,Nico González,23,Manchester City,€48.4M
90,Abdukodir Khusanov,21,Manchester City,€48.4M
98,Gabriel Jesus,28,Arsenal,€45.6M
101,Rayan Aït Nouri,23,Wolves,€45M
104,Jack Grealish,29,Manchester City,€43.5M
114,Vitor Reis,19,Manchester City,€41.4M
117,Ian Maatsen,23,Aston Villa,€40.6M
124,Mykhaylo Mudryk,24,Chelsea,€37.8M
127,Ferdi Kadıoğlu,25,Brighton,€37.4M
128,Reece James,25,Chelsea,€37.3M
129,Cheick Doucouré,25,Crystal Palace,€37.2M
132,Danilo,24,Nott'ham Forest,€36.9M
135,Nathan Aké,30,Manchester City,€36.4M
138,Mason Mount,26,Manchester Utd,€35.5M
140,Ibrahim Sangaré,27,Nott'ham Forest,€34.6M
143,Simon Adingra,23,Brighton,€34M
154,Patrick Dorgu,20,Manchester Utd,€31.5M
160,Heung-min Son,32,Tottenham,€30.7M
170,John Stones,30,Manchester City,€29.7M
171,Brajan Gruda,20,Brighton,€29.4M
174,Benoît Badiashile,24,Chelsea,€28.5M
175,Lewis Miley,19,Newcastle Utd,€28.5M
177,Radu Drăguşin,23,Tottenham,€28.4M
179,Conor Bradley,21,Liverpool,€27.9M
180,Oscar Bobb,21,Manchester City,€27.9M
183,Alex Scott,21,Bournemouth,€27.6M
184,Axel Disasi,27,Aston Villa,€27.5M
185,O. Hutchinson,21,Ipswich Town,€27.4M
186,Kevin Danso,26,Tottenham,€27.2M
193,Richarlison,27,Tottenham,€26.7M
194,Luis Guilherme,19,West Ham,€26.6M
196,Jarell Quansah,22,Liverpool,€26.2M
197,Crysencio Summerville,23,West Ham,€25.9M
198,Igor Thiago,23,Brentford,€25.9M
199,Filip Jørgensen,23,Chelsea,€25.9M
201,Ismaïla Sarr,27,Crystal Palace,€25.7M
202,Matt O'Riley,24,Brighton,€25.6M
203,Joe Gomez,27,Liverpool,€25.3M
205,Wilson Odobert,20,Tottenham,€25.1M
207,Igor Júlio,27,Brighton,€25M
209,Michael Kayode,20,Brentford,€25M
210,Jakub Kiwior,25,Arsenal,€25M
211,Aaron Hickey,22,Brentford,€24.9M
213,Kiernan Dewsbury-Hall,26,Chelsea,€24.9M
214,Julio Enciso,21,Ipswich Town,€24.9M
215,Edward Nketiah,25,Crystal Palace,€24.8M
217,Claudio Echeverri,19,Manchester City,€24.4M
227,Victor Kristiansen,22,Leicester City,€23.9M
228,Mikey Moore,17,Tottenham,€23.7M
229,Konstantinos Tsimikas,28,Liverpool,€23.6M
234,Takehiro Tomiyasu,26,Arsenal,€22.9M
239,J. Philogene,23,Ipswich Town,€22.3M
240,Abdul Fatawu Issahaku,21,Leicester City,€21.9M
242,Donyell Malen,26,Aston Villa,€21.4M
244,Chadi Riad,21,Crystal Palace,€21.4M
245,Reiss Nelson,25,Fulham,€21.3M
247,Sean Longstaff,27,Newcastle Utd,€21.3M
248,Federico Chiesa,27,Liverpool,€21.2M
249,Caoimhin Kelleher,26,Liverpool,€20.9M
250,Fabio Carvalho,22,Brentford,€20.6M
252,Ben Chilwell,28,Crystal Palace,€20.4M
254,Taiwo Awoniyi,27,Nott'ham Forest,€20.2M
255,Trevoh Chalobah,25,Chelsea,€20.1M
257,Felipe Morato,23,Nott'ham Forest,€20M
258,Antonín Kinský,22,Tottenham,€20M
259,Oleksandr Zinchenko,28,Arsenal,€19.9M
260,Nathan Patterson,23,Everton,€19.9M
261,James McAtee,22,Manchester City,€19.8M
265,Marco Asensio,29,Aston Villa,€19.6M
266,Carlos Alcaraz,22,Everton,€19.6M
269,Romain Esse,19,Crystal Palace,€19.4M
278,Armando Broja,23,Everton,€18.6M
282,Marshall Munetsi,28,Wolves,€18.3M
289,Hee-chan Hwang,29,Wolves,€17.6M
290,Raheem Sterling,30,Arsenal,€17.5M
292,Luke Shaw,29,Manchester Utd,€17.5M
293,Jota Silva,25,Nott'ham Forest,€17.4M
