STT,Player,Squad,ETV
1,Aaron Ramsdale,Southampton,€18.7M
2,Aaron Wan-Bissaka,West Ham,€26.9M
3,Abdoulaye Doucouré,Everton,€5.8M
4,Adam Smith,Bournemouth,€1.5M
5,Adam Wharton,Crystal Palace,€48.9M
6,Adama Traoré,Fulham,€8M
7,Alejandro Garnacho,Manchester Utd,€60.7M
8,Alex Iwobi,Fulham,€30.3M
9,Alexander Isak,Newcastle Utd,€120.3M
10,Alexis Mac Allister,Liverpool,€106.1M
11,Alisson,Liverpool,€24.1M
12,Alphonse Aréola,West Ham,€11.8M
13,Amad Diallo,Manchester Utd,€48.5M
14,Amadou Onana,Aston Villa,€62.1M
15,Andreas Pereira,Fulham,€19M
16,Andrew Robertson,Liverpool,€24M
17,André,Wolves,€29.8M
18,André Onana,Manchester Utd,€34.2M
19,Anthony Elanga,Nott'ham Forest,€45.5M
20,Anthony Gordon,Newcastle Utd,€49.5M
21,Antoine Semenyo,Bournemouth,€47.7M
22,Antonee Robinson,Fulham,€46.4M
23,Archie Gray,Tottenham,€58.2M
24,Arijanet Murić,Ipswich Town,€10.1M
25,Ashley Young,Everton,€1.3M
26,Axel Tuanzebe,Ipswich Town,€4.2M
27,Bart Verbruggen,Brighton,€30.7M
28,Ben Davies,Tottenham,€5.6M
29,Ben Johnson,Ipswich Town,€12.6M
30,Bernardo Silva,Manchester City,€50M
31,Bernd Leno,Fulham,€13.7M
32,Beto,Everton,€24.4M
33,Bilal El Khannouss,Leicester City,€40.6M
34,Boubacar Kamara,Aston Villa,€46.3M
35,Boubakary Soumaré,Leicester City,€15.4M
36,Brennan Johnson,Tottenham,€71.3M
37,Bruno Fernandes,Manchester Utd,€54.8M
38,Bruno Guimarães,Newcastle Utd,€83.2M
39,Bryan Mbeumo,Brentford,€57.2M
40,Bukayo Saka,Arsenal,€101.3M
41,Caleb Okoli,Leicester City,€16.7M
42,Callum Hudson-Odoi,Nott'ham Forest,€30.2M
43,Calvin Bassey,Fulham,€29.9M
44,Cameron Archer,Southampton,€18.6M
45,Cameron Burgess,Ipswich Town,€1.7M
46,Carlos Baleba,Brighton,€52.4M
47,Carlos Soler,West Ham,€23.4M
48,Casemiro,Manchester Utd,€11.6M
49,Chris Richards,Crystal Palace,€15.7M
50,Chris Wood,Nott'ham Forest,€7.8M
51,Christian Eriksen,Manchester Utd,€4.2M
52,Christian Nørgaard,Brentford,€14.4M
53,Christopher Nkunku,Chelsea,€51.7M
54,Cody Gakpo,Liverpool,€67.5M
55,Cole Palmer,Chelsea,€115.4M
56,Conor Coady,Leicester City,€2.2M
57,Craig Dawson,Wolves,€1.5M
58,Cristian Romero,Tottenham,€60.1M
59,Curtis Jones,Liverpool,€61.7M
60,Daichi Kamada,Crystal Palace,€14.6M
61,Dan Burn,Newcastle Utd,€9.1M
62,Dango Ouattara,Bournemouth,€28.5M
63,Daniel Muñoz,Crystal Palace,€30.9M
64,Danny Welbeck,Brighton,€6M
65,Dara O'Shea,Ipswich Town,€19.5M
66,Darwin Núñez,Liverpool,€60.9M
67,David Raya,Arsenal,€28.9M
68,Dean Henderson,Crystal Palace,€22.7M
69,Dean Huijsen,Bournemouth,€55M
70,Declan Rice,Arsenal,€107.8M
71,Dejan Kulusevski,Tottenham,€60.5M
72,Destiny Udogie,Tottenham,€59.4M
73,Diogo Dalot,Manchester Utd,€37.4M
74,Diogo Jota,Liverpool,€58.6M
75,Djed Spence,Tottenham,€19.8M
76,Dominic Calvert-Lewin,Everton,€17.8M
77,Dominic Solanke,Tottenham,€52.1M
78,Dominik Szoboszlai,Liverpool,€71.4M
79,Dwight McNeil,Everton,€27M
80,Eberechi Eze,Crystal Palace,€62.2M
81,Ederson,Manchester City,€19.1M
82,Edson Álvarez,West Ham,€36.5M
83,Elliot Anderson,Nott'ham Forest,€46.5M
84,Emerson Palmieri,West Ham,€12.6M
85,Emile Smith Rowe,Fulham,€40.8M
86,Emiliano Martínez,Aston Villa,€17.5M
87,Emmanuel Agbadou,Wolves,€18M
88,Enzo Fernández,Chelsea,€73.7M
89,Erling Haaland,Manchester City,€198.8M
90,Ethan Pinnock,Brentford,€7.6M
91,Evanilson,Bournemouth,€26.9M
92,Ezri Konsa,Aston Villa,€42.7M
93,Fabian Schär,Newcastle Utd,€11M
94,Facundo Buonanotte,Leicester City,€30.7M
95,Flynn Downes,Southampton,€9.2M
96,Gabriel Magalhães,Arsenal,€75.5M
97,Gabriel Martinelli,Arsenal,€62.6M
98,Georginio Rutter,Brighton,€41.3M
99,Guglielmo Vicario,Tottenham,€41.6M
100,Guido Rodríguez,West Ham,€13.6M
101,Harry Maguire,Manchester Utd,€13.7M
102,Harry Wilson,Fulham,€14.5M
103,Harry Winks,Leicester City,€11.4M
104,Harvey Barnes,Newcastle Utd,€41.5M
105,Heung-min Son,Tottenham,€30.7M
106,Ibrahima Konaté,Liverpool,€57.2M
107,Idrissa Gueye,Everton,€5M
108,Iliman Ndiaye,Everton,€25.7M
109,Illia Zabarnyi,Bournemouth,€58.8M
110,Ismaïla Sarr,Crystal Palace,€25.7M
111,Issa Diop,Fulham,€17.9M
112,Jack Clarke,Ipswich Town,€19.4M
113,Jack Harrison,Everton,€17.7M
114,Jack Hinshelwood,Brighton,€9.2M
115,Jack Stephens,Southampton,€1.4M
116,Jacob Greaves,Ipswich Town,€25.1M
117,Jacob Murphy,Newcastle Utd,€17.9M
118,Jacob Ramsey,Aston Villa,€45.8M
119,Jadon Sancho,Chelsea,€37.7M
120,Jake O'Brien,Everton,€19.7M
121,James Garner,Everton,€23.2M
122,James Justin,Leicester City,€17M
123,James Maddison,Tottenham,€58.1M
124,James Tarkowski,Everton,€11.8M
125,Jamie Vardy,Leicester City,€1M
126,Jan Bednarek,Southampton,€12.9M
127,Jan Paul van Hecke,Brighton,€42.4M
128,Jannik Vestergaard,Leicester City,€2M
129,Jarrad Branthwaite,Everton,€32.2M
130,Jarrod Bowen,West Ham,€48.1M
131,Jean-Clair Todibo,West Ham,€36M
